Restaurant_Name,Category,Pricing_for_2,Locality,Dining_Rating,Dining_Review_Count,Delivery_Rating,Delivery_Rating_Count,Website,Address,Phone_No,Latitude,Longitude
Magix's Paratha Roll,"Fast Food, Chinese, Mughlai, Rolls",400," BTM, Bangalore",3.7,147,3.9,3996,https://www.zomato.com/bangalore/magixs-paratha-roll-btm-bangalore,"96, 100 Feet Ring Road, Vysya Bank Colony, 1st Stage, BTM, Bangalore",9.19019E+11,12.916721,77.60366678
Dum Biryani Hub,"Biryani, North Indian, Chinese",450," BTM, Bangalore",3.7,144,3.9,12100,https://www.zomato.com/bangalore/dum-biryani-hub-btm-bangalore,"Site 1182, Aradhana Complex, 17th Main, Cashier Layout, Chocolate Factory Road Tavarekere, 1 Stage, BTM, Bangalore",9.17893E+11,12.9230901,77.6128443
Ammus Restaurant,"North Indian, Fast Food, Kebab, Rolls, Beverages",300," BTM, Bangalore",3.7,170,3.8,671,https://www.zomato.com/bangalore/ammus-restaurant-btm-bangalore,"3, Tavarekere Main Road, Kauvery Layout, 1st Cross, Opposite Forum Mall, BTM, Bangalore",9.17829E+11,12.93294898,77.61039712
KBC - Kebab Biryani Curry,"North Indian, Chinese, Kebab, Biryani",400," KR Puram, Bangalore",3.7,145,3.5,3845,https://www.zomato.com/bangalore/kbc-kebab-biryani-curry-kr-puram-bangalore,"39, Aiyaapanagar Main Road, Near Krishna Community Hall, KR Puram, Bangalore",9.17338E+11,13.00314323,77.71271333
KBC - Kebab Biryani Curry,"North Indian, Chinese, Kebab, Biryani",400," KR Puram, Bangalore",3.7,145,3.5,3845,https://www.zomato.com/bangalore/kbc-kebab-biryani-curry-kr-puram-bangalore,"39, Aiyaapanagar Main Road, Near Krishna Community Hall, KR Puram, Bangalore",9.17338E+11,13.00314323,77.71271333
Kaka Food Corner,North Indian,300," Whitefield, Bangalore",3.7,102,3.3,3591,https://www.zomato.com/bangalore/kaka-food-corner-whitefield,"3rd Cross Street, Hanuma Reddy Layout, Chinnapanna Halli, Whitefield, Bangalore",9.18956E+11,12.967461,77.70392
Aaharaa,"South Indian, Chinese, North Indian",300," Rammurthy Nagar, Bangalore",3.7,90,3.8,4815,https://www.zomato.com/bangalore/aaharaa-rammurthy-nagar,"2 & 3, KVS Complex, TC Palya Main Road, Akshaya Nagar, Rammurthy Nagar, Bangalore",9.19987E+11,13.02072642,77.68540006
Mayonaise,"Fast Food, Pizza, Beverages",500," Banaswadi, Bangalore",3.7,95,3.4,1276,https://www.zomato.com/bangalore/mayonaise-banaswadi-bangalore,"43, Below State Bank Of India, Amar Regency Layout, Horamavu Main Road, Banaswadi, Bangalore",9.19845E+11,13.02348567,77.65817296
Krun Tummy,"North Indian, Chinese",300," Electronic City, Bangalore",3.7,25,4,624,https://www.zomato.com/bangalore/krun-tummy-1-electronic-city-bangalore,"52/7, 1st Floor, Ramakrishna Reddy Building, Abbaiah Reddy Street, Doddathoguru, Phase 1, Electronic City, Bangalore",9.18089E+11,12.849009,77.654979
Ambur Dum Biriyani,Biryani,200," Bellandur, Bangalore",3.7,28,3.9,2329,https://www.zomato.com/bangalore/ambur-dum-biriyani-bellandur-bangalore,"58/51, Devabisanahhali, Marathahalli Ring Road, B.B.M.P East, Bellandur, Bangalore",9.1948E+11,12.93155366,77.68472817
Delhi 6,"North Indian, Chinese",250," BTM, Bangalore",3.7,76,3.3,3093,https://www.zomato.com/bangalore/delhi-6-btm-bangalore,"57/01, Ground Floor, 7th Main, 19th Main, Yellappa Layout, BTM 2nd Stage, BTM, Bangalore",9.18885E+11,12.90739973,77.60618404
Biryani Nights,"Biryani, North Indian, Chinese",400," BTM, Bangalore",3.7,126,3.3,1510,https://www.zomato.com/bangalore/biryani-nights-btm-bangalore,"15, 16th Main Road, Teverekere road, BTM 1st Stage, 1st Phase, BTM, Bangalore",9.18619E+11,12.92049607,77.61059359
Sweet Chills,"Desserts, Ice Cream, Beverages, Bakery, Fast Food",500," Vijay Nagar, Bangalore",3.7,58,,0,https://www.zomato.com/bangalore/sweet-chills-vijay-nagar,"33, Opposite Health & Glow, BHBCS Layout, 2nd Stage, 7th Main, Chandra Layout, Vijay Nagar, Bangalore",9.19612E+11,12.96004989,77.52685033
Shruti Delicacy,"South Indian, North Indian, Chinese, Beverages",350," Koramangala 8th Block, Bangalore",3.7,76,3.9,2042,https://www.zomato.com/bangalore/shruti-delicacy-1-koramangala-8th-block-bangalore,"45, 80 Feet Road, Koramangala 8th Block, Bangalore",9.19353E+11,12.94360116,77.62113735
Crunchie Corner,"Fast Food, Continental, Desserts",450," Brookefield, Bangalore",3.7,50,4.3,130,https://www.zomato.com/bangalore/crunchie-corner-brookefield,"AECS Layout, C-Block, Opposite MK Retail, Brookefield, Bangalore",9.19538E+11,12.96447875,77.71567952
Sri Gurudev Darshini,"South Indian, Chinese",300," HSR, Bangalore",3.7,19,3.8,1678,https://www.zomato.com/bangalore/sri-gurudev-darshini-hsr,"HSR Club Road, Sector 3, HSR, Bangalore",9.19846E+11,12.90933636,77.63913363
Khana Khazana,North Indian,300," Electronic City, Bangalore",3.7,63,3.5,2510,https://www.zomato.com/bangalore/khana-khazana-electronic-city-bangalore,"Near Neo Town, Katrina Apartment, Electronic City, Bangalore",9.19656E+11,12.828286,77.670723
Maddy's Cafe,"Fast Food, Pasta",600," Hennur, Bangalore",3.7,43,3.8,66,https://www.zomato.com/bangalore/maddys-cafe-hennur-bangalore,"RS Building, Near Canara Bank ATM, K Narayanpura Road, Kothanur, Hennur, Bangalore",9.18105E+11,13.05810184,77.64369372
Chatter Platter,"North Indian, Chinese, Fast Food",300," BTM, Bangalore",3.7,33,3.5,1037,https://www.zomato.com/bangalore/chatter-platter-btm,"No. 357, 6th Cross, 29th Main Lake Road, Stage 2, BTM, Bangalore",9.19986E+11,12.9090161,77.61400703
Raghavendra Bakery,Bakery,200," BTM, Bangalore",3.7,14,3.9,377,https://www.zomato.com/bangalore/raghavendra-bakery-btm-bangalore,"8, Ground Floor, 1st A, Main Road, Madiwala, BTM, Bangalore",9.19742E+11,12.92455507,77.61505812
K R Catering Services,"South Indian, Rolls, Biryani, Beverages",300," Whitefield, Bangalore",3.7,92,3.5,78,https://www.zomato.com/bangalore/k-r-catering-services-whitefield-bangalore,"136, 3rd Cross, Vijayanagar, Whitefield, Bangalore",9.19592E+11,12.974569,77.75526
Bachelor's Special Biriyani,"North Indian, Biryani, South Indian, Chinese, Fast Food",450," Electronic City, Bangalore",3.7,36,3.5,2473,https://www.zomato.com/bangalore/bachelors-special-biriyani-electronic-city-bangalore,"46A, Hulimangala Sai Baba Temple Road, 2nd Cross, MEGA Venture Layout, Near New Bharath Petrol Pump, Electronic City, Bangalore",9.18951E+11,12.832784,77.646847
Sardaar Ka Chulla,"North Indian, Mughlai",450," Kadubeesanahalli, Bangalore",3.7,68,3.4,535,https://www.zomato.com/bangalore/sardaar-ka-chulla-kadubeesanahalli-bangalore,"Fidelis Food Court, Umiya Business Bay, Outer Ring Road, Cessna Business Park, Kadubeesanahalli, Bangalore",9.18049E+11,12.9352148,77.6949675
Food Empire,"North Indian, Seafood",400," Rajajinagar, Bangalore",3.7,64,3.8,219,https://www.zomato.com/bangalore/food-empire-1-rajajinagar-bangalore,"87/21, 3rd Main Road, Industrial Town, Rajajinagar, Bangalore",9.19844E+11,12.98195165,77.54752345
NoName Restaurant,"North Indian, Chinese, Fast Food, Biryani",400," Rammurthy Nagar, Bangalore",3.7,51,3.6,675,https://www.zomato.com/bangalore/noname-restaurant-rammurthy-nagar,"3 & 4, Site 10, Sai Gardens, TC Palya Main Road, Anandapura, Krishnarajapuram, Rammurthy Nagar, Bangalore",9.19341E+11,13.02262331,77.68990081
Sasu Maa Ki Rasoi,"North Indian, Chinese",300," Sarjapur Road, Bangalore",3.7,76,3.5,585,https://www.zomato.com/bangalore/sasu-maa-ki-rasoi-sarjapur-road,"Central Jail Road, Kasavanahalli, Near Amruta Engineering College, Sarjapur Road, Bangalore",9.1776E+11,12.883967,77.68233
Fritz Haber,"Ice Cream, Desserts, Fast Food, Beverages",400," Koramangala 8th Block, Bangalore",3.7,31,3.8,249,https://www.zomato.com/bangalore/fritz-haber-koramangala-8th-block-bangalore,"103, 1st Floor, Venkataswamy Layout, Koramangala 8th Block, Bangalore",9.1906E+11,12.94440923,77.61738695
New Ambur Hot Dum Biryani,Biryani,150," Sahakara Nagar, Bangalore",3.7,11,4,632,https://www.zomato.com/bangalore/new-ambur-hot-dum-biryani-sahakara-nagar-bangalore,"5, 6 RMS Layout, F Block, Sahakarnagar, Bangalore",9.19886E+11,13.06297639,77.59238005
Foodishq,North Indian,450," Whitefield, Bangalore",3.7,35,4,335,https://www.zomato.com/bangalore/foodishq-whitefield,"3, Outer Ring Road, Opposite More Megastore, Mahadevapura, Whitefield, Bangalore",9.17625E+11,12.98952675,77.68811035
Krussh,"Beverages, Juices, Fast Food, Desserts",200," Kammanahalli, Bangalore",3.7,25,3.8,778,https://www.zomato.com/bangalore/krussh-kammanahalli-bangalore,"3, Ground Floor, Janakiram Complex, CMR Road, Kammanahalli, Bangalore",9.18044E+11,13.02296793,77.63685208
Cafe Salutare,"Healthy Food, Sandwich, Salad, Beverages, Juices",400," HSR, Bangalore",3.7,18,3.5,433,https://www.zomato.com/cafesalutare,"The Majesstine Sports, B.B.M.P South, HSR, Bangalore",9.19731E+11,12.89812975,77.63838496
Meet Punjabi Restaurant,"North Indian, Chinese, Street Food",300," Jalahalli, Bangalore",3.7,38,3.2,415,https://www.zomato.com/bangalore/meet-punjabi-restaurant-jalahalli-bangalore,"2, 1st Main, Near TVS Motor Showroom, Jalahalli Cross Road, Jalahalli, Bangalore",9.19916E+11,13.04095931,77.5175273
The Taste Of North,"North Indian, Chinese",400," Nagawara, Bangalore",3.7,7,3.5,159,https://www.zomato.com/bangalore/the-taste-of-north-nagawara-bangalore,"21/71, 4th Cross, Munivenkatappa Layout, Near JMJ Hospital, Nagawara, Bangalore",9.18904E+11,13.04003004,77.6223705
Cafe Chaippu,"Kerala, Coffee",150," Sarjapur Road, Bangalore",3.7,31,3.8,230,https://www.zomato.com/bangalore/cafe-chaippu-sarjapur-road-bangalore,"27, Tulasi Layout, Kasavanahalli, Near Sarjapur Road, Bangalore",9.17019E+11,12.90358818,77.67622355
Sandwich Souk,"Chinese, Sandwich, Burger, Rolls, Lebanese, Italian, Beverages, Juices",200," Bommanahalli, Bangalore",3.7,44,3.9,323,https://www.zomato.com/bangalore/sandwich-souk-bommanahalli-bangalore,"29, Cross, NGR Layout, Roopena Agrahara, Bommanahalli, Bangalore",9.19448E+11,12.91177887,77.62434963
Sri Maruthi Fast Food,South Indian,100," Jalahalli, Bangalore",3.7,11,4.2,464,https://www.zomato.com/bangalore/sri-maruthi-fast-food-jalahalli-bangalore,"85/7, 13th Main Road, K.G Halli, Jalahalli, Bangalore",9.19109E+11,13.0634137,77.53050819
Idly Paradise,"South Indian, Beverages",250," Whitefield, Bangalore",3.7,37,3.9,1100,https://www.zomato.com/bangalore/idly-paradise-whitefield-bangalore,"17, Srinivasa Layout, Near Water Bislery, Nagondanahalli Main Road, Immidahalli, Whitefield, Bangalore",9.17677E+11,12.96883925,77.76706897
Sultan’s Creams & Faloodas,"Ice Cream, Desserts, Fast Food, Beverages",250," RT Nagar, Bangalore",3.7,25,3.6,350,https://www.zomato.com/bangalore/sultans-creams-faloodas-rt-nagar-bangalore,"49/3, Narayanappa Block, Near Chitanya Hospital, RT Nagar, Bangalore",9.19114E+11,13.02313615,77.59456303
Om Sweets & Namkeens,"North Indian, Street Food",200," Electronic City, Bangalore",3.7,22,3.3,289,https://www.zomato.com/bangalore/om-sweets-namkeens-electronic-city-bangalore,"Velankini Gate, Maha Yogi Vemana Road, Konappana Agrahara, Doddathoguru, Electronic City",9.18971E+11,12.85016024,77.65692908
Tumbowls,"North Indian, Biryani",350," Bellandur, Bangalore",3.7,45,3.6,711,https://www.zomato.com/bangalore/tumbowls-bellandur-bangalore,"103, 1st Floor, Near Ramdev Medical, Bellandur, Bengaluru",9.19743E+11,12.922315,77.676139
Tumbowls,"North Indian, Biryani",350," Bellandur, Bangalore",3.7,45,3.6,711,https://www.zomato.com/bangalore/tumbowls-bellandur-bangalore,"103, 1st Floor, Near Ramdev Medical, Bellandur, Bengaluru",9.19743E+11,12.922315,77.676139
Ohh Bangalore,"Chinese, North Indian, Street Food, Rolls, Fast Food",300," Rajarajeshwari Nagar, Bangalore",3.7,8,3.7,519,https://www.zomato.com/bangalore/ohh-bangalore-rajarajeshwari-nagar-bangalore,"Global Village Back Gate, Mylasandra, Rajarajeshwari Nagar, Bangalore",9.17761E+11,12.91718406,77.49981366
Srushti Coffee,South Indian,300," Malleshwaram, Bangalore",3.7,28,3.6,676,https://www.zomato.com/bangalore/srushti-coffee-malleshwaram-bangalore,"127-128, 17th Cross, 8th Main, Malleshwaram, Bangalore",9.19987E+11,13.00769023,77.56407402
Brindavan Coffee Katte,"South Indian, Chinese, Beverages",200," Kumaraswamy Layout, Bangalore",3.7,19,3.9,1305,https://www.zomato.com/bangalore/brindavan-coffee-katte-kumaraswamy-layout-bangalore,"20, Ramaiah Layout, Grape Garden, Kerekodi Main Road, Hosakerehalli, Kumaraswamy Layout, Bangalore",9.19591E+11,12.929627,77.534911
I Cake,"Bakery, Beverages, Fast Food",250," Malleshwaram, Bangalore",3.7,44,4.3,82,https://www.zomato.com/bangalore/i-cake-malleshwaram-bangalore,"281, Sampige Road, 18th Cross, Malleshwaram, Bangalore",9.19999E+11,13.00815966,77.57120937
Mr. Chaiwala,"Tea, Fast Food",100," Kalyan Nagar, Bangalore",3.7,56,4,190,https://www.zomato.com/bangalore/mr-chaiwala-1-kalyan-nagar-bangalore,"Shop 44, 4th Cross, 2nd Block, HRBR Layout, Kalyan Nagar, Bangalore",9.19591E+11,13.021438,77.6404288
Udupi Ahara,"South Indian, North Indian, Chinese",250," Rajajinagar, Bangalore",3.7,16,4.1,165,https://www.zomato.com/bangalore/udupi-ahara-rajajinagar-bangalore,"38/3, 12th Cross, Mahalaxmi Layout, Rajajinagar, Bangalore",9.18106E+11,13.00855526,77.54341867
Thayee Touch,"Chinese, North Indian",400," JP Nagar, Bangalore",3.7,36,,6,https://www.zomato.com/bangalore/thayee-touch-jp-nagar,"725, 1st Floor, 24th Main, 17th Cross, JP Nagar, Bangalore",9.19845E+11,12.90557288,77.58548878
Cafe Oleiva,"Italian, Continental, Chinese, Biryani, Bakery, Beverages",500," Jeevan Bhima Nagar, Bangalore",3.7,17,3.3,201,https://www.zomato.com/bangalore/cafe-oleiva-jeevan-bhima-nagar-bangalore,"603, Ground Floor, Nanja Reddy Colony, 4th Cross, Kullappa Lane, Jeevan Bhima Nagar, Bangalore",9.19687E+11,12.96412131,77.65658174
MKS Shalimar,"Biryani, South Indian, Kerala, Chinese",550," KR Puram, Bangalore",3.7,56,,10,https://www.zomato.com/bangalore/mks-shalimar-kr-puram-bangalore,"Near Segehalli Government Hospital, KR Puram, Banglore",9.19846E+11,13.01649848,77.71727342
Sash Cafe,"Fast Food, Beverages",600," Hennur, Bangalore",3.7,28,3.3,68,https://www.zomato.com/bangalore/sash-cafe-hennur-bangalore,"133, Survey 22 & 125, Ground Floor, Sri Rama Arcade, Byrathi Kothanur, Hennur, Bangalore",9.18881E+11,13.06978525,77.6520079
Magic Fill,"North Indian, Chinese, Mughlai",300," Basavanagudi, Bangalore",3.7,27,3.9,63,https://www.zomato.com/bangalore/magic-fill-basavanagudi-bangalore,"31, Opposite Vijaya College, RV Road, Basavanagudi, Bangalore",9.1702E+11,12.93971402,77.57987894
Hotel Avakaay,"North Indian, Biryani, Andhra, Chinese",500," Electronic City, Bangalore",3.7,29,3.4,241,https://www.zomato.com/bangalore/hotel-avakaay-electronic-city-bangalore,"Opposite Velankani Tech Park, Phase 1, Electronic City, Bangalore",9.19902E+11,12.85083851,77.65716746
Hotel Akshaya,"Andhra, North Indian, South Indian",350," Vijay Nagar, Bangalore",3.7,24,4,1116,https://www.zomato.com/bangalore/hotel-akshaya-vijay-nagar-bangalore,"1108, 9th Main, 4th Cross, R.P.C Layout, Hampi Nagar, Stage 2, Vijay Nagar, Bangalore",9.18861E+11,12.95820383,77.53503107
Midnight Dine Out,"North Indian, Chinese, Fast Food",500," Marathahalli, Bangalore",3.7,28,3.6,609,https://www.zomato.com/bangalore/midnight-dine-out-marathahalli-bangalore,"Nageshwar Rao Building, 3rd Cross, B- Narayanapura Pura, Kamadenu Layout, Mahadevapura, Marathahalli, Bangalore",9.19494E+11,12.99665138,77.68686321
Organa,"Fast Food, Ice Cream, Beverages",200," Brookefield, Bangalore",3.7,36,,12,https://www.zomato.com/bangalore/organa-brookefield-bangalore,"110/6, Ground Floor, ANR Residency, Near Shiva Tample, Brookefield, Bangalore",9.19901E+11,12.96710891,77.71865979
The Cake Lair,"Bakery, Fast Food, Beverages, Pasta",600," BTM, Bangalore",3.7,14,4,585,https://www.zomato.com/bangalore/the-cake-lair-btm-bangalore,"2nd Main, Tavarekere Extension, Chocolate Factory Road, Maruti Nagar, BTM, Bangalore",9.19527E+11,12.92292115,77.6141559
Limra Hotel,"Chinese, North Indian",300," BTM, Bangalore",3.7,12,3,119,https://www.zomato.com/bangalore/limra-hotel-btm,"1,15th Cross, 29th Main, Opposite BTM Park, Stage 2, BTM, Bangalore",9.19109E+11,12.905467,77.60911837
The Taste Of Tandoori,"North Indian, Chinese",350," Electronic City, Bangalore",3.7,23,3.4,412,https://www.zomato.com/bangalore/the-taste-of-tandoori-electronic-city-bangalore,"13, Munireddy Building, Electronic City Phase-2, Electronic City, Bangalore",9.19916E+11,12.84771092,77.6725677
Ajji Mane Badoota,"Biryani, South Indian",200," Kanakapura Road, Bangalore",3.7,14,3.8,330,https://www.zomato.com/bangalore/ajji-mane-badoota-kanakapura-road-bangalore,"Near Glass Factory Bus Stand, Amruth Nagar, Kanakapura Road, Bangalore",9.19972E+11,12.87612258,77.56694902
The Malgudi Days,"North Indian, Chinese",350," BTM, Bangalore",3.7,20,3.6,198,https://www.zomato.com/bangalore/the-malgudi-days-btm-bangalore,"246, 6th Main, 7th Cross, MICO Layout, 2nd Stage, BTM, Bangalore",9.19972E+11,12.9135597,77.6050041
Swiss Bakery Cafe - Gokulam Grand Hotel & Spa,"Cafe, Bakery",400," Gokulam Grand Hotel & Spa, New BEL Road, Bangalore",3.7,11,,0,https://www.zomato.com/bangalore/swiss-bakery-cafe-gokulam-grand-hotel-spa-new-bel-road-bangalore,"115, Gokula Extension, HMT Road, Near BEL Circle, New BEL Road, Bangalore",9.18043E+11,13.04253594,77.55496725
Coffee Thindi,South Indian,150," Kalyan Nagar, Bangalore",3.7,27,3.6,165,https://www.zomato.com/bangalore/coffee-thindi-1-kalyan-nagar-bangalore,"9M-326, 9th Main Road, 4th Cross, HRBR Layout, 1st Block, BBMP, Kalyan Nagar, Bangalore",9.19664E+11,13.019821,77.647496
New Karavali Restaurant,"North Indian, Seafood, Mangalorean, Chinese",450," Yeshwantpur, Bangalore",3.7,9,3.7,167,https://www.zomato.com/bangalore/new-karavali-restaurant-yeshwantpur,"40, Triveni Road, Yeshwantpur, Bangalore",9.18023E+11,13.01965858,77.55809538
Hotel Rhythms,"North Indian, South Indian, Fast Food, Street Food",150," Marathahalli, Bangalore",3.7,4,3.6,104,https://www.zomato.com/bangalore/hotel-rhythms-2-marathahalli-bangalore,"53, Silver Spring Layout, Sai Baba Temple Road, Thubarahalli, Marathahalli, Bangalore",9.17872E+11,12.9516301,77.7168617
Garden City Mobile Biryani,Biryani,300," Majestic, Bangalore",3.7,13,4.4,215,https://www.zomato.com/bangalore/garden-city-mobile-biryani-majestic-bangalore,"75, GT Road, Near Hotel City Centaur, Majestic, Bangalore",9.17023E+11,12.97433632,77.57046405
Royal Dine Family Restaurant,Chinese,350," BTM, Bangalore",3.7,28,3.9,36,https://www.zomato.com/bangalore/royal-dine-family-restaurant-btm-bangalore,"953, 7th Cross, 16th Main, 2nd Stage, BTM, Bangalore",9.19513E+11,12.90931349,77.61135031
Kabab Rolls,"Chinese, Rolls",300," Vijay Nagar, Bangalore",3.7,12,3.9,354,https://www.zomato.com/bangalore/kabab-rolls-vijay-nagar-bangalore,"1, 2nd Main Road, 2nd Block, Govindaraja Nagar Ward, Canara Bank Colony, Chandra Layout, Vijay Nagar, Bangalore",9.19916E+11,12.96154078,77.52630986
